Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)

Square Error : 0.053875

n:    0, t: 0.000000, x[n]:   (1.000000,0.000000), y[n]:   (1.000000,0.000000), y(t):  (0.999991,-0.002984), diff: (-0.000009,-0.002984)
n:    1, t: 0.000250, x[n]:  (0.000000,-1.000000), y[n]:  (0.000633,-0.999367), y(t): (-0.002984,-0.999991), diff: (-0.003617,-0.000624)
n:    2, t: 0.000500, x[n]: (-1.000000,-0.000001), y[n]: (-0.999367,-0.000633), y(t):  (-0.999991,0.002983), diff:  (-0.000624,0.003617)
n:    3, t: 0.000750, x[n]:  (-0.000001,1.000000), y[n]:  (-0.000633,0.999367), y(t):   (0.002983,0.999991), diff:   (0.003617,0.000624)
n:    4, t: 0.001000, x[n]:   (1.000000,0.000002), y[n]:   (0.999367,0.000634), y(t):  (0.999991,-0.002982), diff:  (0.000624,-0.003617)
n:    5, t: 0.001250, x[n]:  (0.000002,-1.000000), y[n]:  (0.000634,-0.999367), y(t): (-0.002982,-0.999991), diff: (-0.003617,-0.000624)
n:    6, t: 0.001500, x[n]: (-1.000000,-0.000002), y[n]: (-0.999367,-0.000634), y(t):  (-0.999991,0.002982), diff:  (-0.000624,0.003617)
n:    7, t: 0.001750, x[n]:  (-0.000002,1.000000), y[n]:  (-0.000634,0.999367), y(t):   (0.002982,0.999991), diff:   (0.003617,0.000624)
n:    8, t: 0.002000, x[n]:   (1.000000,0.000004), y[n]:   (0.999367,0.000636), y(t):  (0.999991,-0.002980), diff:  (0.000624,-0.003617)
n:    9, t: 0.002250, x[n]:  (0.000006,-1.000000), y[n]:  (0.000638,-0.999367), y(t): (-0.002978,-0.999991), diff: (-0.003617,-0.000624)
n:   10, t: 0.002500, x[n]: (-1.000000,-0.000004), y[n]: (-0.999367,-0.000636), y(t):  (-0.999991,0.002980), diff:  (-0.000624,0.003617)
n:   11, t: 0.002750, x[n]:  (-0.000006,1.000000), y[n]:  (-0.000638,0.999367), y(t):   (0.002978,0.999991), diff:   (0.003617,0.000624)
n:   12, t: 0.003000, x[n]:   (1.000000,0.000004), y[n]:   (0.999367,0.000636), y(t):  (0.999991,-0.002980), diff:  (0.000624,-0.003617)
n:   13, t: 0.003250, x[n]:  (0.000002,-1.000000), y[n]:  (0.000635,-0.999367), y(t): (-0.002982,-0.999991), diff: (-0.003617,-0.000624)
n:   14, t: 0.003500, x[n]: (-1.000000,-0.000004), y[n]: (-0.999367,-0.000636), y(t):  (-0.999991,0.002980), diff:  (-0.000624,0.003617)
n:   15, t: 0.003750, x[n]:  (-0.000002,1.000000), y[n]:  (-0.000635,0.999367), y(t):   (0.002982,0.999991), diff:   (0.003617,0.000624)
